company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
ENGLOTECHS HOLDING BHD,"ENGLOTC  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,20947,20852,85660,75408,"2,196","3,157","10,425","11,159","2,088","2,728","9,161","9,438",562307
COMSA FARMS BERHAD,"COMSA  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,60978,52718,188551,168711,"2,523","2,948","10,238","8,794","2,626","3,320","9,069","10,320",562310
WOO HING BROTHERS (MALAYA) BERHAD,"WOOHING  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,0,0,0,711,-152,"-2,041",-847,"-8,031",-152,"-2,041",-847,"-8,031",562329
CME GROUP BERHAD,"CME  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,1615,12703,2041,14958,"-1,215",-986,"-4,862","-3,694","-1,215","-1,113","-4,862","-3,821",562336
PANTAI HOLDINGS BERHAD,"PANTAI  
 ",31/12/2004,2,30/6/2005,22 Feb 2005  ,167865,151478,340327,297237,"15,664","8,614","31,416","16,392","10,008","4,385","19,508","8,718",562342
IOI CORPORATION BERHAD,"IOICORP  
 ",31/12/2004,2,30/6/2005,17 Feb 2005  ,1480128,1389174,3194333,2663290,"315,370","280,756","636,401","534,026","304,052","175,345","514,168","332,781",562354
CYMAO HOLDINGS BERHAD,"CYMAO  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,46122,19992,195148,19992,"5,182","3,231","25,342","3,223","5,304","2,808","20,964","2,800",562910
P.I.E. INDUSTRIAL BERHAD,"PIE  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,42459,41252,154123,121653,"4,646","4,543","14,198","10,717","4,053","2,858","11,110","7,437",562915
MINPLY HOLDINGS (M) BERHAD,"MINPLY  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,18195,21604,66263,65299,-73,"-8,578","-10,232","-15,466","-3,497","-7,403","-12,417","-12,518",562917
MULTI-CODE ELECTRONICS INDUSTRIES (M) BHD,"MULTICO  
 ",31/1/2005,2,31/7/2005,31 Mar 2005  ,15032,9433,28412,20510,"1,549",585,"3,346","2,077","1,151",451,"2,505","1,609",562937
TEO GUAN LEE CORPORATION BERHAD,"TGL  
 ",31/12/2004,2,30/6/2005,24 Feb 2005  ,29191,30801,47284,48548,"5,285","6,054","7,009","7,534","4,444","5,103","5,636","6,129",562955
PLUS EXPRESSWAYS BERHAD,"PLUS  
 ",31/3/2005,1,31/12/2005,17 May 2005  ,405335,393402,405335,393402,"489,051","169,576","489,051","169,576","487,250","168,295","487,250","168,295",564283
MAXTRAL INDUSTRY BERHAD,"MAXTRAL  
 ",31/3/2005,1,31/12/2005,25 May 2005  ,30515,18261,30515,18261,"1,467","2,119","1,467","2,119","1,032","1,304","1,032","1,304",564300
NCB HOLDINGS BERHAD,"NCB  
 ",31/3/2005,1,31/12/2005,20 Apr 2005  ,196729,192700,196729,192700,"26,547","38,706","26,547","38,706","17,153","25,591","17,153","25,591",564307
UEM BUILDERS BERHAD,"UEMBLDR  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,262554,321306,262554,321306,"3,419","44,948","3,419","44,948","-14,751","30,662","-14,751","30,662",564314
HUNZA PROPERTIES BERHAD,"HUNZPTY  
 ",30/6/2005,4,30/6/2005,26 Aug 2005  ,27308,50836,112920,117297,"10,883","13,625","31,632","27,022","5,646","7,050","16,287","13,806",564846
SUNWAY HOLDINGS INCORPORATED BERHAD,"SUNINC  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,320375,333640,320375,333640,"11,196","31,574","11,196","31,574","3,107","21,304","3,107","21,304",564866
KUALA LUMPUR KEPONG BERHAD,"KLK  
 ",31/3/2005,2,30/9/2005,18 May 2005  ,891089,934176,1966378,1926810,"97,281","157,217","301,928","327,473","64,307","107,979","219,636","229,126",564868
MALTON BERHAD,"MALTON  
 ",31/3/2005,3,30/6/2005,31 May 2005  ,72693,58821,155976,128108,"4,739","5,297","6,884","9,712","-6,735","1,032","-7,222","4,430",564874
EDARAN OTOMOBIL NASIONAL BERHAD,"EON  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,679026,1133829,679026,1133829,"29,809","121,677","29,809","121,677","19,642","47,429","19,642","47,429",564879
APP INDUSTRIES BERHAD,"APP  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,10022,16476,10022,16476,258,"1,973",258,"1,973",224,"1,256",224,"1,256",564893
APB RESOURCES BERHAD,"APB  
 ",31/3/2005,2,30/9/2005,19 May 2005  ,33726,0,52854,0,"5,215","-15,556","8,003","-15,676","3,674","-15,602","5,622","-15,722",564902
SYARIKAT TAKAFUL MALAYSIA BERHAD,"TAKAFUL  
 ",30/6/2005,4,30/6/2005,30 Aug 2005  ,52703,39661,130911,117273,"21,661","12,190","32,596","23,063","15,196","15,988","27,612","24,064",565400
DIS TECHNOLOGY HOLDINGS BERHAD,"DISTECH  
 ",31/12/2005,2,31/12/2005,29 Aug 2005  ,13046,0,21767,21977,274,0,537,"2,211",274,0,537,"1,874",565404
MALAKOFF BERHAD,"MALAKOF  
 ",31/5/2005,3,31/8/2005,25 Jul 2005  ,553224,549832,1565036,1496443,"219,086","193,538","646,844","566,044","132,798","118,857","380,821","344,235",565420
SERSOL TECHNOLOGIES BERHAD,"SERSOL  
 ",30/6/2005,2,31/12/2005,29 Aug 2005  ,8117,,14937,,100,,178,,45,,112,,565421
TOP GLOVE CORPORATION BHD,"TOPGLOV  
 ",31/5/2005,3,31/8/2005,4 Jul 2005  ,159173,111349,447045,294883,"17,118","10,804","48,122","30,023","14,801","10,033","41,636","27,745",565423
UEM BUILDERS BERHAD,"UEMBLDR  
 ",30/6/2005,2,31/12/2005,26 Aug 2005  ,324402,345908,586956,667214,"-17,785","31,910","-14,365","76,858","-23,309","19,916","-38,059","50,578",565424
LAND & GENERAL BERHAD,"L&G  
 ",30/6/2005,1,31/3/2006,25 Aug 2005  ,25443,36825,25443,36825,"-10,283","27,192","-10,283","27,192","-11,868","25,951","-11,868","25,951",565435
MAXTRAL INDUSTRY BERHAD,"MAXTRAL  
 ",30/6/2005,2,31/12/2005,25 Aug 2005  ,35185,17278,65700,35539,"3,581","1,443","5,048","3,562","2,425",968,"3,457","2,272",565438
MELEWAR INDUSTRIAL GROUP BERHAD,"MELEWAR  
 ",31/7/2005,2,31/1/2006,29 Sept 2005  ,148375,133738,322437,273046,"5,184","21,410","17,027","40,303","1,252","15,948","6,459","29,446",565441
AMDB BERHAD,"AMDB  
 ",30/9/2005,2,31/3/2006,29 Nov 2005  ,49870,55595,101795,124665,"1,020",665,"1,802","1,170",-26,"-1,971","-1,593",-398,566014
TRU-TECH HOLDINGS BHD,"TRUTECH  
 ",30/9/2005,3,31/12/2005,30 Nov 2005  ,6273,8704,16369,88379,"-1,147","-2,977","-4,789","-8,395","-1,147","-2,981","-4,790","-8,285",566022
KUMPULAN JETSON BERHAD,"JETSON  
 ",30/9/2005,3,31/12/2005,28 Nov 2005  ,38348,50187,122195,127020,-334,"2,567",234,"-2,985",-357,"1,967",136,"-3,874",566594
LANKHORST BERHAD,"LANKHOS  
 ",30/6/2005,2,31/12/2005,11 Nov 2005  ,7811,16169,33428,25275,638,-497,927,-562,671,-505,994,-570,566615
EBWORX BERHAD,"EBWORX  
 ",31/3/2005,1,31/12/2005,27 May 2005  ,5560,6178,5560,6178,"-2,661",928,"-2,661",928,"-2,673",901,"-2,673",901,567044
CAB CAKARAN CORPORATION BERHAD,"CAB  
 ",30/6/2005,3,30/9/2005,19 Sept 2005  ,74901,46016,269175,138900,"4,080","1,965","11,855","6,196","2,893","1,430","8,842","4,795",567143
CAB CAKARAN CORPORATION BERHAD,"CAB  
 ",30/6/2005,3,30/9/2005,25 Aug 2005  ,74901,46016,269175,138900,"4,080","1,965","11,855","6,196","2,893","1,430","8,842","4,795",567146
MHC PLANTATIONS BHD.,"MHC  
 ",30/6/2005,2,31/12/2005,30 Aug 2005  ,4896,5627,8947,21234,"1,663","2,905","3,210","15,234","1,200","2,001","2,330","13,834",567732
REX INDUSTRY BERHAD,"REX  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,26834,21310,98460,81428,"1,483",945,"4,723","4,367","1,137","1,057","4,109","4,062",567902
INTI UNIVERSAL HOLDINGS BHD,"INTI  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,31231,30825,136033,164676,"3,981","-1,689","12,440","33,431",845,"-4,114","6,966","22,293",567906
WONDERFUL WIRE & CABLE BERHAD,"WWCABLE  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,24126,19431,92631,68440,"1,255","1,110","4,726",205,"1,090","1,115","4,597",393,567909
STS TECNIC BERHAD,"STSTEC  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,26866,19121,83457,73926,"-1,937","1,429","-6,162",437,"-2,058","1,428","-6,332",332,567913
ATURMAJU RESOURCES BERHAD,"ATURMJU  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,20135,0,76303,0,"1,301",0,"7,191",0,986,0,"6,353",0,567923
FOREMOST HOLDINGS BERHAD,"FORMOST  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,31948,69925,170910,266655,"-4,480","-8,636","-8,487","-27,438","-4,475","-5,320","-7,570","-17,021",567925
JOHN MASTER INDUSTRIES BERHAD,"JMI  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,18842,20187,41284,42566,956,"2,306","1,373","2,951",332,"2,078",710,"2,143",567928
BELL & ORDER BERHAD,"B&O  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,684,3651,5031,9924,"-46,499","-1,507","-60,100","-4,425","-46,243","-1,507","-59,844","-4,143",567930
MODULAR TECHCORP HOLDINGS BERHAD,"MODULAR  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,23744,0,36637,0,"1,245",0,"4,024",0,"1,539",0,"3,599",0,567948
MALAYSIAN AIRLINE SYSTEM BERHAD,"MAS  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,3037408,2457606,8251011,6306719,"78,754","232,535","241,853","173,897","57,616","230,082","216,906","166,637",567968
EURO HOLDINGS BERHAD,"EURO  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,26291,0,68727,0,"3,724",0,"8,059",0,"2,569",0,"6,267",0,567974
NOVA MSC BERHAD,"NOVAMSC  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,415,10962,8747,23883,"-5,721",922,"-8,565","3,175","-5,721",607,"-8,572","2,734",567978
MBF CORPORATION BERHAD,"MBFCORP  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,5243,14673,47363,19662,"-13,680","-1,559","-28,336","4,225","-10,853","-1,581","-20,282","4,479",568030
DATASCAN BERHAD,"DATASCN  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,4754,0,18393,0,368,0,"1,518",0,247,0,"1,322",0,568031
MECHMAR CORPORATION (MALAYSIA) BERHAD,"MECHMAR  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,140692,143431,500253,416064,"17,459","15,074","31,872","32,269","10,820","15,023","19,567","31,895",568037
EVERMASTER GROUP BERHAD,"EVERMAS  
 ",31/12/2004,3,31/3/2005,25 Feb 2005  ,15051,12786,50384,36362,-854,"-4,101",-703,"-3,122",-879,"-4,193",-723,"-3,450",568042
MWE HOLDINGS BERHAD,"MWE  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,167225,167524,646717,556298,"8,786","10,997","40,781","30,304","5,461","2,688","18,210","8,354",568043
RNC CORPORATION BERHAD,"RNC  
 ",31/12/2004,3,31/3/2005,24 Feb 2005  ,0,10334,10434,35269,"-6,097","-1,849",-735,"-6,207","-6,097","-1,849",-735,"-6,207",568045
FARLIM GROUP (MALAYSIA) BHD,"FARLIM  
 ",31/12/2004,4,31/12/2004,21 Feb 2005  ,56584,52580,200924,193527,"-8,455","11,110","-19,812","-17,511","-6,673","7,877","-12,906","-11,847",568047
ASIA PACIFIC LAND BERHAD,"APLAND  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,41040,70039,169216,240355,"4,494","16,402","14,862","24,940","2,886","11,815","9,059","17,782",568052
MOBIF BERHAD,"MOBIF  
 ",31/12/2004,4,31/12/2004,21 Feb 2005  ,4988,0,18723,9631,595,0,"4,169","2,292",581,0,"4,141","2,292",568058
MENTAKAB RUBBER COMPANY (MALAYA) BERHAD,"MTAKAB  
 ",31/12/2004,2,30/6/2005,22 Feb 2005  ,5214,867,10253,1685,"3,283",574,"6,178","1,061","2,364",414,"4,448",804,568061
VADS BERHAD,"VADS  
 ",31/12/2004,4,31/12/2004,21 Feb 2005  ,58102,46268,194280,151282,"4,637","8,159","16,271","14,735","3,550","5,986","12,136","10,574",568062
PROGRESSIVE IMPACT CORPORATION BERHAD,"PICORP  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,8477,0,51014,0,"4,016",0,"16,176",0,"2,520",0,"10,212",0,568068
DIJAYA CORPORATION BERHAD,"DIJACOR  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,98661,53215,214506,182800,"27,211","21,210","65,448","29,040","16,159","13,610","41,546","17,255",568069
PINTARAS JAYA BHD,"PTARAS  
 ",31/12/2004,2,30/6/2005,18 Feb 2005  ,27835,22515,52852,47891,"3,311","3,404","7,490","6,988","2,424","2,786","5,486","5,549",568071
SAUJANA CONSOLIDATED BERHAD,"SAUJANA  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,13047,23511,75759,76505,"-1,700",300,"3,971","2,495","-1,550",-280,"2,404",874,568087
MALAYSIA SMELTING CORPORATION BERHAD,"MSC  
 ",31/12/2004,4,31/12/2004,23 Feb 2005  ,579590,276700,1862529,783377,"37,027","14,021","130,860","53,249","18,141","9,146","59,782","28,956",568092
MALAYAN UNITED INDUSTRIES BERHAD,"MUIIND  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,408527,383481,1463095,1393946,"-349,693","-66,521","-390,678","-160,394","-371,722","-49,261","-409,788","-174,043",568093
KLUANG RUBBER COMPANY (MALAYA) BERHAD,"KLUANG  
 ",31/12/2004,2,30/6/2005,21 Feb 2005  ,2211,1855,3724,3213,"5,791","4,413","7,429","6,610","5,390","4,667","6,686","6,662",568096
MUI PROPERTIES BERHAD,"MUIPROP  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,29494,38272,85903,107576,"-547,478","-42,755","-546,102","-28,494","-548,863","-45,039","-551,067","-38,159",568101
KEIN HING INTERNATIONAL BERHAD,"KEINHIN  
 ",31/1/2005,3,30/4/2005,28 Mar 2005  ,32071,,98234,,"2,719",,"6,991",,"2,533",,"6,292",,568117
SCIENTEX PACKAGING BERHAD,"SCIPACK  
 ",31/1/2005,2,31/7/2005,28 Mar 2005  ,88843,11485,168131,24940,"4,520",784,"9,816","1,251","4,224",724,"9,342","1,058",568121
INDUSTRIAL CONCRETE PRODUCTS BERHAD,"ICP  
 ",31/12/2004,2,31/3/2005,18 Feb 2005  ,79871,46504,157722,102384,"11,577","2,453","22,496","6,810","9,433","2,307","18,911","9,367",568151
HEITECH PADU BERHAD,"HTPADU  
 ",31/12/2004,4,31/12/2004,17 Feb 2005  ,116663,70934,311976,226863,977,"9,148","20,528","29,925",-270,"7,860","12,228","22,453",568156
NAIM CENDERA HOLDINGS BERHAD,"NAIM  
 ",31/12/2004,4,31/12/2004,17 Feb 2005  ,90553,94260,333833,270951,"32,366","21,806","113,535","77,988","18,145","12,042","69,333","48,483",568159
WIJAYA BARU GLOBAL BERHAD,"WIJAYA  
 ",31/12/2005,4,31/12/2005,27 Feb 2006  ,16595,841766,73803,891693,"6,852","7,672","46,432","12,842","3,816","4,898","40,399","8,422",568172
CHUAN HUAT RESOURCES BHD,"CHUAN  
 ",31/12/2004,4,31/12/2004,1 Mar 2005  ,89826,112419,407142,423788,-319,"-5,172","8,491","-2,821",-81,"-1,885","7,323",-694,568189
WILLOWGLEN MSC BERHAD,"WILLOW  
 ",31/12/2005,4,31/12/2005,24 Feb 2006  ,10432,8979,36359,33562,"1,853","-1,367","5,674","-1,458","1,512","-1,587","4,341","-2,259",568219
NGIU KEE CORPORATION (M) BERHAD,"NGIUKEE  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,51673,42347,170043,155755,711,670,"1,622","1,206",634,597,"1,436","1,196",568224
APM AUTOMOTIVE HOLDINGS BERHAD,"APM  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,206872,155182,789049,664399,"20,010","13,255","76,831","64,481","15,789","9,872","58,668","48,682",568237
TRC SYNERGY BERHAD,"TRC  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,57673,86675,301342,324684,-367,"1,904",384,"13,066",-624,"-1,109",-138,"8,684",568271
CCK CONSOLIDATED HOLDINGS BERHAD,"CCK  
 ",31/12/2004,2,30/6/2005,28 Feb 2005  ,55426,52779,111555,108906,"1,413","1,681","3,362","4,189",914,"1,011","2,213","2,531",568275
PULAI SPRINGS BERHAD,"PSPRING  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,14620,14356,50518,45391,"1,387",344,"3,190","1,685","1,446",57,"2,706","1,000",568282
SBBS CONSORTIUM BERHAD,"SBBS  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,1554,21064,1554,21064,"-2,890",-338,"-2,890",-338,"-2,890",-338,"-2,890",-338,568349
OCB BERHAD,"OCB  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,41401,77499,41401,77499,"2,967","5,708","2,967","5,708","1,598","2,532","1,598","2,532",568358
CYGAL BERHAD,"CYGAL  
 ",31/3/2005,1,31/12/2005,30 May 2005  ,18410,24264,18410,24264,"-5,681","-5,885","-5,681","-5,885","-5,802","-5,964","-5,802","-5,964",568361
CHIN WELL HOLDINGS BERHAD,"CHINWEL  
 ",28/2/2005,3,31/5/2005,20 Apr 2005  ,58740,71265,206140,180179,"7,951","9,414","36,637","25,502","5,551","7,664","28,137","21,292",568365
COUNTRY VIEW BERHAD,"CVIEW  
 ",28/2/2005,1,30/11/2005,26 Apr 2005  ,10065,7271,10065,7271,421,305,421,305,175,154,175,154,568379
EUPE CORPORATION BERHAD,"EUPE  
 ",28/2/2005,4,28/2/2005,22 Apr 2005  ,10706,9656,45925,59641,"1,571",12,"3,963","9,520","1,494",-83,"3,115","7,493",568380
TENAGA NASIONAL BHD,"TENAGA  
 ",28/2/2005,2,31/8/2005,18 Apr 2005  ,4640800,4285000,9185600,8528900,"507,200","199,600","723,700","336,400","295,100","57,100","303,600","30,700",568384
TENGGARA OIL BERHAD,"TENGARA  
 ",31/1/2005,4,31/1/2005,11 Apr 2005  ,7702,8742,32545,38219,"-8,315",-248,"-13,407","-3,934","-8,265",-297,"-13,478","-4,071",568392
NIKKO ELECTRONICS BHD.,"NIKKO  
 ",31/3/2005,4,31/3/2005,31 May 2005  ,17607,16972,231743,0,"-7,927","-7,001","4,311",0,"-6,995","-5,284","4,092",0,568393
I-BERHAD,"IBHD  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,15492,15208,15492,15208,"1,672",-603,"1,672",-603,"1,655",-596,"1,655",-596,568394
PULAI SPRINGS BERHAD,"PSPRING  
 ",31/3/2005,1,31/12/2005,31 May 2005  ,11542,9623,11542,9623,828,"-1,641",828,"-1,641",815,"-1,888",815,"-1,888",568396
SATANG JAYA HOLDINGS BERHAD,"SATANG  
 ",31/3/2005,3,30/6/2005,31 May 2005  ,21781,0,52708,0,"3,746",0,"9,990",0,"2,685",0,"7,208",0,568404
SYARIKAT KAYU WANGI BERHAD,"SKW  
 ",28/2/2005,1,30/11/2005,25 Apr 2005  ,6230,6448,6230,6448,-801,"-1,232",-801,"-1,232",-768,"-1,199",-768,"-1,199",568406
LEONG HUP HOLDINGS BERHAD,"LHH  
 ",31/12/2004,3,31/3/2005,24 Feb 2005  ,172976,147581,498648,439000,"6,859","5,625",12,"28,431","4,309","2,626","-4,944","20,468",568409
JOHORE TIN BERHAD,"JOHOTIN  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,27227,22210,97891,88016,"2,015","2,445","10,995","11,004","1,310","1,524","7,547","8,449",568455
PJI HOLDINGS BERHAD,"PJI  
 ",31/12/2004,2,30/6/2005,28 Feb 2005  ,32698,55848,67655,104141,"-3,413",279,"-5,442","1,798","-7,496",85,"-9,586","1,152",568457
AE MULTI HOLDINGS BERHAD,"AEM  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,18647,26675,78295,73553,"-7,939",359,"-12,682","2,952","-7,672",51,"-12,641","2,112",568462
HARN LEN CORPORATION BHD,"HARNLEN  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,16342,16690,72487,29541,"2,144","2,235","10,603","-14,517",18,"1,286","4,786","-16,623",568464
PECD BERHAD,"PECD  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,318191,,346887,,"15,571",,"16,294",,"8,195",,"8,577",,568472
WTK HOLDINGS BERHAD,"WTK  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,151141,143219,608466,565673,"17,480","15,925","99,539","58,669","15,507","12,943","88,515","48,550",568473
IRE-TEX CORPORATION BERHAD,"IRETEX  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,16045,17966,62153,64817,-310,"1,872","1,739","7,870",60,"1,372","1,559","2,587",568475
OCB BERHAD,"OCB  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,44845,80504,267563,365743,"25,430","3,870","39,186","19,179","24,316","2,336","29,733","7,564",568487
JAVA INCORPORATED BHD,"JAVA  
 ",31/12/2004,2,30/6/2005,28 Feb 2005  ,119787,2096,122881,5464,"53,048","-2,635","51,146","-4,767","45,378","-2,635","43,476","-4,767",568490
HARRISONS HOLDINGS (MALAYSIA) BERHAD,"HARISON  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,196218,179444,801853,709663,"1,837","1,804","17,278","12,973",-587,"1,064","10,613","8,293",568500
PADIBERAS NASIONAL BERHAD,"BERNAS  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,490015,468943,1973766,1824738,"8,860","-31,753","163,735","-3,438","12,755","-28,040","120,967","-18,882",568504
SANBUMI HOLDINGS BERHAD,"SANBUMI  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,59874,35982,263003,261092,"-1,617","1,821","3,768","6,672","-1,526","1,302","2,299","4,457",568532
JPK HOLDINGS BERHAD,"JPK  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,22957,21925,67919,65208,-619,868,"-3,106","3,510",-577,"1,535","-2,677","4,127",568536
THE NEW STRAITS TIMES PRESS (MALAYSIA) BERHAD,"NSTP  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,132083,0,523807,0,"-2,960",0,"11,794",0,"-11,890",0,"2,130",0,568537
TECHVENTURE BERHAD,"TECHVEN  
 ",31/12/2004,4,31/12/2005,28 Feb 2005  ,10389,10805,47858,49426,"-3,635","-4,179","-12,472","-10,038","-3,642","-18,965","-12,520","-26,457",568538
COUNTRY HEIGHTS HOLDINGS BHD,"CHHB  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,77861,86613,489492,342681,"-21,607","27,571","19,585","24,312","-19,235","21,664","4,295","11,671",568541
EON CAPITAL BERHAD,"EONCAP  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,506571,501498,1970736,2057897,"94,902","114,333","400,201","450,675","72,972","87,611","282,335","328,393",568546
WANG-ZHENG BERHAD,"WANGZNG  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,40166,0,171724,0,"3,996",0,"18,863",0,"3,329",0,"14,127",0,568547
MTD CAPITAL BHD,"MTD  
 ",31/12/2004,3,31/3/2005,28 Feb 2005  ,108108,153383,390051,432877,"8,278","49,454","45,188","211,252","3,220","31,831","17,078","168,100",568553
LUSTER INDUSTRIES BHD.,"LUSTER  
 ",31/12/2004,4,31/12/2004,28 Feb 2005  ,27511,42863,130778,145189,"-2,570","5,594",825,"13,857","-1,996","3,407","2,040","12,174",568554
INGENUITY SOLUTIONS BERHAD,"INGENS  
 ",31/12/2004,3,31/3/2005,25 Feb 2005  ,4285,2722,12169,6473,888,"1,129","1,958","3,202",851,"1,122","1,892","3,127",568579
DATAPREP HOLDINGS BHD,"DATAPRP  
 ",31/12/2004,3,31/3/2005,25 Feb 2005  ,16177,20961,48189,62228,110,"-8,435","1,228","-19,068",526,"-8,911","2,215","-20,179",568580
LAY HONG BERHAD,"LAYHONG  
 ",31/12/2004,3,31/3/2005,25 Feb 2005  ,40399,32333,125885,93446,"-3,910",216,"-7,672","1,207","-2,713",61,"-4,915","1,440",568603
MITHRIL BERHAD,"MITHRIL  
 ",31/12/2004,2,30/6/2005,25 Feb 2005  ,12958,,25831,,"-1,737",,"-3,991",,"-2,285",,"-4,659",,568604
STONE MASTER CORPORATION BERHAD,"STONE  
 ",31/12/2004,3,31/3/2005,25 Feb 2005  ,29812,29670,87182,97516,923,80,"1,104","4,769",597,-156,767,"3,277",568605
PRINSIPTEK CORPORATION BERHAD,"PSIPTEK  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,110663,70920,294793,185041,"9,807","9,831","34,630","2,355","7,321","5,861","24,655","5,861",568626
MALAYSIAN RESOURCES CORPORATION BERHAD,"MRCB  
 ",31/12/2004,4,31/12/2005,24 Feb 2005  ,59591,0,188301,0,"-5,237",0,"23,953",0,"17,046",0,"31,863",0,568630
ORIENTAL INTEREST BERHAD,"OIB  
 ",31/12/2004,2,30/6/2005,21 Feb 2005  ,38575,25757,69336,50546,"10,084","5,753","18,547","9,755","7,180","4,344","13,105","7,048",568633
TT RESOURCES BHD,"TT  
 ",31/12/2004,4,31/12/2004,22 Feb 2005  ,33881,35159,132644,144954,"2,185","-7,899","2,730","-26,713","1,745","-8,733",621,"-28,366",568646
MALAYSIAN NATIONAL REINSURANCE BERHAD,"MNRB  
 ",31/12/2004,3,31/3/2005,22 Feb 2005  ,180178,177178,539849,523427,"29,472","31,648","85,303","89,971","21,849","22,348","62,700","66,341",568654
BANDAR RAYA DEVELOPMENTS BERHAD,"BRAYA  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,120039,76170,425013,338634,"12,703","9,660","71,461","61,966","6,278","6,170","37,413","42,421",568655
ROHAS-EUCO INDUSTRIES BHD,"ROHAS  
 ",31/12/2004,4,31/12/2004,22 Feb 2005  ,52350,11232,170835,105093,"4,113","7,818","12,815","14,260","1,977","3,917","3,516","8,699",568657
KINTA KELLAS PUBLIC LIMITED COMPANY,"KKELLAS  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,170407,127421,541474,413383,"12,261","19,758","33,077","57,118","9,300","16,972","21,650","46,111",568667
DXN HOLDINGS BHD,"DXN  
 ",30/11/2004,3,28/2/2005,25 Feb 2005  ,45783,31336,129915,66836,"6,808","6,150","21,849","13,490","5,422","4,810","17,450","10,826",568675
SPK-SENTOSA CORPORATION BERHAD,"SPK  
 ",31/12/2004,4,31/12/2004,24 Feb 2005  ,84011,64330,310844,122789,"4,592","13,067","45,845","22,469","3,983","9,774","29,498","15,414",568676
BSA INTERNATIONAL BERHAD,"BSA  
 ",31/12/2004,4,31/12/2004,25 Feb 2005  ,54707,46705,198476,164759,"5,263","5,903","20,680","20,994","4,279","4,918","18,133","18,680",568679
OSK VENTURES INTERNATIONAL BERHAD,"OSKVI  
 ",31/12/2004,4,31/12/2004,15 Feb 2005  ,3458,0,6661,0,"3,181",0,"5,716",0,"3,184",0,"5,626",0,568682
